vol,total,correctCanvas,correctCanvas %,correctLine,correctLine %
1,24,24,100.0,23,95.83333333333334
2,45,45,100.0,40,88.88888888888889
3,11,11,100.0,11,100.0
4,46,46,100.0,42,91.30434782608695
5,45,45,100.0,45,100.0
6,30,30,100.0,21,70.0
7,27,27,100.0,27,100.0
8,10,10,100.0,5,50.0
9,44,43,97.72727272727273,42,95.45454545454545
10,47,47,100.0,38,80.85106382978722
11,4,4,100.0,2,50.0
12,42,42,100.0,33,78.57142857142857
13,38,38,100.0,30,78.94736842105263
14,32,32,100.0,31,96.875
15,23,23,100.0,22,95.65217391304348
16,5,5,100.0,4,80.0
17,18,18,100.0,15,83.33333333333334
18,20,20,100.0,19,95.0
19,29,29,100.0,24,82.75862068965517
20,20,20,100.0,17,85.0
21,48,48,100.0,41,85.41666666666666
22,39,39,100.0,36,92.3076923076923
23,14,14,100.0,10,71.42857142857143
24,20,20,100.0,19,95.0
25,19,19,100.0,19,100.0
26,21,21,100.0,20,95.23809523809523
27,4,4,100.0,2,50.0
28,17,17,100.0,17,100.0
29,27,27,100.0,19,70.37037037037037
30,14,14,100.0,13,92.85714285714286
31,35,35,100.0,30,85.71428571428571
32,18,18,100.0,18,100.0
33,23,23,100.0,18,78.26086956521739
34,96,96,100.0,83,86.45833333333334
35,97,97,100.0,87,89.69072164948454
36,38,38,100.0,36,94.73684210526315
37,18,18,100.0,18,100.0
38,14,14,100.0,14,100.0
39,67,67,100.0,64,95.52238805970148
40,18,18,100.0,17,94.44444444444444
41,21,21,100.0,17,80.95238095238095
42,13,13,100.0,12,92.3076923076923
43,12,12,100.0,12,100.0
44,39,39,100.0,38,97.43589743589743
45,36,36,100.0,33,91.66666666666666
46,35,35,100.0,30,85.71428571428571
47,84,84,100.0,77,91.66666666666666
48,18,18,100.0,16,88.88888888888889
49,88,88,100.0,80,90.9090909090909
50,60,60,100.0,51,85.0
51,67,67,100.0,51,76.11940298507463
52,54,54,100.0,49,90.74074074074075
53,62,62,100.0,55,88.70967741935483
54,16,16,100.0,16,100.0
sum,1812,1811,99.94481236203092,1609,88.79690949227374
